time,open,high,low,close,volume
2026-01-04 16:59:00,135.09,135.11,135.09,135.11,921.27
2026-01-04 17:00:00,135.11,135.12,135.02,135.06,951.044
2026-01-04 17:01:00,135.07,135.23,135.07,135.19,1080.696
2026-01-04 17:02:00,135.19,135.27,135.18,135.27,390.952
2026-01-04 17:03:00,135.27,135.31,135.12,135.13,790.427
2026-01-04 17:04:00,135.12,135.17,135.09,135.09,470.911
2026-01-04 17:05:00,135.09,135.13,135.07,135.09,186.403
2026-01-04 17:06:00,135.08,135.21,135.08,135.14,408.132
2026-01-04 17:07:00,135.14,135.14,135.07,135.08,381.284
2026-01-04 17:08:00,135.08,135.11,135.07,135.09,320.447
2026-01-04 17:09:00,135.1,135.15,135.09,135.1,251.89
2026-01-04 17:10:00,135.1,135.18,135.09,135.15,3069.129
2026-01-04 17:11:00,135.15,135.2,135.11,135.11,1108.133
2026-01-04 17:12:00,135.1,135.11,135.02,135.05,469.224
2026-01-04 17:13:00,135.05,135.13,135.02,135.03,1485.786
2026-01-04 17:14:00,135.03,135.09,134.94,134.97,2288.141
2026-01-04 17:15:00,134.97,135.13,134.97,135.11,1086.939
2026-01-04 17:16:00,135.11,135.11,135.0,135.01,271.97
2026-01-04 17:17:00,135.01,135.01,134.96,134.96,332.722
2026-01-04 17:18:00,134.96,135.05,134.96,135.02,1496.17
2026-01-04 17:19:00,135.02,135.33,134.98,135.19,3604.807
2026-01-04 17:20:00,135.2,135.22,135.07,135.08,740.758
2026-01-04 17:21:00,135.07,135.18,135.07,135.17,397.772
2026-01-04 17:22:00,135.18,135.36,135.17,135.35,865.498
2026-01-04 17:23:00,135.35,135.37,135.21,135.23,542.601
2026-01-04 17:24:00,135.23,135.27,135.2,135.2,475.497
2026-01-04 17:25:00,135.21,135.24,135.14,135.15,534.439
2026-01-04 17:26:00,135.15,135.15,135.03,135.09,782.504
2026-01-04 17:27:00,135.08,135.09,135.06,135.07,314.734
2026-01-04 17:28:00,135.07,135.08,135.06,135.07,868.152
2026-01-04 17:29:00,135.06,135.11,135.06,135.11,289.24
2026-01-04 17:30:00,135.11,135.14,135.11,135.12,292.384
2026-01-04 17:31:00,135.12,135.22,135.12,135.16,422.023
2026-01-04 17:32:00,135.17,135.19,135.08,135.17,309.465
2026-01-04 17:33:00,135.17,135.22,135.17,135.19,349.934
2026-01-04 17:34:00,135.19,135.19,135.16,135.18,629.278
2026-01-04 17:35:00,135.19,135.25,135.08,135.2,10742.835
2026-01-04 17:36:00,135.19,135.19,135.1,135.17,357.986
2026-01-04 17:37:00,135.17,135.17,135.13,135.15,328.423
2026-01-04 17:38:00,135.15,135.15,135.12,135.13,334.483
2026-01-04 17:39:00,135.12,135.18,135.12,135.15,434.698
2026-01-04 17:40:00,135.15,135.16,135.1,135.1,699.627
2026-01-04 17:41:00,135.11,135.11,134.98,135.01,765.056
2026-01-04 17:42:00,135.01,135.02,135.0,135.01,180.403
2026-01-04 17:43:00,135.01,135.01,134.92,134.93,837.324
2026-01-04 17:44:00,134.92,134.97,134.92,134.97,863.37
2026-01-04 17:45:00,134.96,135.0,134.96,134.99,784.116
2026-01-04 17:46:00,134.98,135.11,134.98,135.08,1315.562
2026-01-04 17:47:00,135.08,135.08,135.02,135.05,361.222
2026-01-04 17:48:00,135.06,135.06,134.99,135.0,325.41
2026-01-04 17:49:00,135.0,135.1,134.99,135.08,1086.476
2026-01-04 17:50:00,135.08,135.16,135.07,135.1,1763.148
2026-01-04 17:51:00,135.11,135.12,134.97,134.98,451.865
2026-01-04 17:52:00,134.98,135.07,134.95,134.96,1795.11
2026-01-04 17:53:00,134.96,134.96,134.87,134.91,1323.853
2026-01-04 17:54:00,134.91,134.91,134.88,134.89,302.846
2026-01-04 17:55:00,134.89,134.89,134.83,134.84,364.148
2026-01-04 17:56:00,134.84,134.89,134.81,134.88,680.551
2026-01-04 17:57:00,134.89,134.89,134.86,134.86,661.233
2026-01-04 17:58:00,134.86,134.87,134.83,134.83,208.36
2026-01-04 17:59:00,134.84,134.84,134.83,134.83,370.68
